Semester|Program Code|Program Short Name|Course Code|Course Name|Credit|ECTS Credit|Course Section|Capacity|Day1|Start Hour1|End Hour1|Instructor Name|Instructor Title|Language of Instruction|Level of Study|Course Objectives|Course Learning Outcomes|Course Content
2024-2025 Fall|911|DI|9110501|INTRODUCTION TO DATA INFORMATICS|3|8.0|1|21|Thursday|13:40|16:30|ALTAN KOÇYİĞİT|Prof.Dr.|English|Graduate|At the end of this course, the student will know:basic concepts and processes of data informatics,principles, tools, and techniques used in data informatics projects.|Student, who passed the course statisfactorily will be able to:identify key concepts in data informatics and business analyticsdescribe basics of data mining, machine learning, big data, visualization, and predictive modelingdefine data analytics problemscarry out problem analysis and decision-making on real-life problemsuse data processing tools and techniquesapply data analysis methodsdevelop predictive modelsevaluate and improve model performance|This course explains the complete process cycle of data informatics domain including business understanding, data governance, data acquisition, modelling, verification, deployment and visualization subjects. Current topics such as data driven organizations, and ethical and legal issues will be also covered in the course. Real world cases will be presented throughout the course and students will get experience in data science platforms such as Python.
2024-2025 Fall|911|DI|9110502|DATA INFORMATICS PROJECT|3|8.0|1|21|Wednesday|09:40|12:30|TUĞBA TAŞKAYA TEMİZEL|Prof.Dr.|English|Graduate|By the end of the course the students are expected to acquire knowledge and ability inInitiating a data science project.Developing a data science project in an iterative and incremental way.Reviewing project work products.Specifying and managing requirements.Understanding, preparing, and evaluating data.Creating and evaluating models.Deploying project outputs.||This course enables students to gain an understanding of a real-world data informatics project conduct and to apply learned skills in a practical context. Students will be grouped into teams to undertake an industry-aligned project and use the tools, techniques and skills acquired in the other program courses. The teams will be assigned to a client and will interact with that client to achieve objectives. Teams will meet on predetermined milestones to evaluate outcomes.
2024-2025 Fall|911|DI|9110504|FOUNDATIONS OF DEEP LEARNING|3|8.0|1|30|Thursday|09:40|12:30|ERDEM AKAGÜNDÜZ|Assoc.Prof.Dr.|English|Graduate|The course will cover various subjects related to fundamental concepts in deep learning. The course starts with the introductory concepts in deep learning, such as neural networks, training, high-level features, and performance evaluations. In the following, the course covers different application fields of deep learning, to what extent the methods succeed, and what the next step is. The course concludes with ethical, legal, and privacy issues in deep learning.|Via this course and by the successful completion thereof, the students will:Learn fundamental definitions and concepts in deep learningLearn to extract high-level features from various data typesLearn the training procedure and related concepts in deep learning modelsLearn different application fields of deep learning|The course will cover various subjects related to fundamental concepts in deep learning. The course starts with the introductory concepts in deep learning, such as neural networks, training, high level features and performance evaluations. In the following, the course covers different application fields of deep learning, to what extent the methods succeed and what the next step is. The course is concluded with ethical, legal and privacy issues in deep learning.
2024-2025 Fall|911|DI|9110590|GRADUATE SEMINAR|0|10.0|1|90|Wednesday|12:40|13:30|UMUT ŞENER|Res.Dr.|English|Graduate|||M.S. students choose and study a topic under the guidance of a faculty member, normally his/her advisor. Students will make presentations in their proposed research areas.
2024-2025 Fall|911|DI|9110592|MATHEMATICS FOR DATA INFORMATICS|3|8.0|1|20|Friday|09:40|12:30|SERKAN KAYGIN|Lecturer Dr.|English|Graduate|At the end of this course, the student will know:Fundamental mathematics concepts used in data informatics studies,Basic calculus concepts such as functions, limits, derivatives and integration,Scalars, vectors, matrices and relevant concepts,Basic skills of using linear algebra methods,Basic principles, tools and techniques used to formulate and solve optimization problems relevant to data informatics domain.|By the successful completion of the course the students will be able to:Define and use basic calculus concepts such as functions, limits, derivatives and integration,Describe the basic vectors, matrices and core linear algebra concepts,Use linear algebra in data informatics studies,Formulate optimization problems,Apply gradient descent based approaches for optimization.|This course reviews the fundamental mathematics knowledge required to carry out data informatics related studies such as logic, relations, functions, vectors and matrices, operations with vectors and matrices, linear independence, linear transformations, eigenvalues and eigenvectors, optimization.
2024-2025 Fall|911|DI|9110599|MASTER THESIS|0|50.0|1|20||||PEKİN ERHAN EREN|Prof.Dr.|English|Graduate|||Program of research leading to M.S. degree arranged between student and faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or write-up thesis is in progress.
2024-2025 Fall|911|DI|9110599|MASTER THESIS|0|50.0|2|20||||ELİF SÜRER|Assoc.Prof.Dr.|English|Graduate|||Program of research leading to M.S. degree arranged between student and faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or write-up thesis is in progress.
2024-2025 Fall|911|DI|9110599|MASTER THESIS|0|50.0|3|20||||TOLGA ESAT ÖZKURT|Assoc.Prof.Dr.|English|Graduate|||Program of research leading to M.S. degree arranged between student and faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or write-up thesis is in progress.
2024-2025 Fall|911|DI|9110599|MASTER THESIS|0|50.0|4|20||||BANU GÜNEL KILIÇ|Prof.Dr.|English|Graduate|||Program of research leading to M.S. degree arranged between student and faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or write-up thesis is in progress.
2024-2025 Fall|911|DI|9110599|MASTER THESIS|0|50.0|5|20||||ÖZDEN ÖZCAN TOP|Assist.Prof.Dr|English|Graduate|||Program of research leading to M.S. degree arranged between student and faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or write-up thesis is in progress.
2024-2025 Fall|911|DI|9110599|MASTER THESIS|0|50.0|6|20||||TUĞBA TAŞKAYA TEMİZEL|Prof.Dr.|English|Graduate|||Program of research leading to M.S. degree arranged between student and faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or write-up thesis is in progress.
2024-2025 Fall|911|DI|9110599|MASTER THESIS|0|50.0|7|20||||BURÇAK OTLU SARITAŞ|Assist.Prof.Dr|English|Graduate|||Program of research leading to M.S. degree arranged between student and faculty member. Students register to this course in all semesters starting from the beginning of their second semester while the research program or write-up thesis is in progress.
